 14:29:39 up 56 min,  1 user,  load average: 0,11, 0,73, 0,82
 14:29:40 up 56 min,  1 user,  load average: 0,11, 0,73, 0,82
 14:29:41 up 56 min,  1 user,  load average: 0,11, 0,73, 0,82
 14:29:42 up 56 min,  1 user,  load average: 0,11, 0,73, 0,82
 14:29:43 up 56 min,  1 user,  load average: 0,10, 0,72, 0,82
 14:29:44 up 56 min,  1 user,  load average: 0,10, 0,72, 0,82
 14:29:45 up 56 min,  1 user,  load average: 0,10, 0,72, 0,82
 14:29:46 up 56 min,  1 user,  load average: 0,10, 0,72, 0,82
 14:29:47 up 56 min,  1 user,  load average: 0,10, 0,72, 0,82
 14:29:48 up 56 min,  1 user,  load average: 0,26, 0,74, 0,82
 14:29:49 up 56 min,  1 user,  load average: 0,26, 0,74, 0,82
 14:29:50 up 56 min,  1 user,  load average: 0,26, 0,74, 0,82
 14:29:51 up 56 min,  1 user,  load average: 0,26, 0,74, 0,82
 14:29:52 up 56 min,  1 user,  load average: 0,26, 0,74, 0,82
 14:29:53 up 56 min,  1 user,  load average: 0,32, 0,74, 0,82
 14:29:54 up 56 min,  1 user,  load average: 0,32, 0,74, 0,82
 14:29:55 up 56 min,  1 user,  load average: 0,32, 0,74, 0,82
 14:29:56 up 56 min,  1 user,  load average: 0,32, 0,74, 0,82
 14:29:57 up 56 min,  1 user,  load average: 0,32, 0,74, 0,82
 14:29:58 up 56 min,  1 user,  load average: 0,37, 0,75, 0,83
 14:29:59 up 56 min,  1 user,  load average: 0,37, 0,75, 0,83
 14:30:00 up 56 min,  1 user,  load average: 0,37, 0,75, 0,83
 14:30:01 up 56 min,  1 user,  load average: 0,37, 0,75, 0,83
 14:30:02 up 56 min,  1 user,  load average: 0,37, 0,75, 0,83
 14:30:03 up 56 min,  1 user,  load average: 0,42, 0,75, 0,83
 14:30:04 up 56 min,  1 user,  load average: 0,42, 0,75, 0,83
 14:30:05 up 56 min,  1 user,  load average: 0,42, 0,75, 0,83
 14:30:06 up 56 min,  1 user,  load average: 0,42, 0,75, 0,83
 14:30:07 up 56 min,  1 user,  load average: 0,42, 0,75, 0,83
 14:30:08 up 56 min,  1 user,  load average: 0,47, 0,76, 0,83
 14:30:09 up 56 min,  1 user,  load average: 0,47, 0,76, 0,83
 14:30:10 up 56 min,  1 user,  load average: 0,47, 0,76, 0,83
 14:30:11 up 56 min,  1 user,  load average: 0,47, 0,76, 0,83
 14:30:12 up 56 min,  1 user,  load average: 0,47, 0,76, 0,83
 14:30:13 up 56 min,  1 user,  load average: 0,51, 0,76, 0,83
