 14:20:29 up 47 min,  1 user,  load average: 1,08, 0,73, 0,68
 14:20:30 up 47 min,  1 user,  load average: 1,08, 0,73, 0,68
 14:20:31 up 47 min,  1 user,  load average: 1,08, 0,73, 0,68
 14:20:32 up 47 min,  1 user,  load average: 1,00, 0,72, 0,68
 14:20:33 up 47 min,  1 user,  load average: 1,00, 0,72, 0,68
 14:20:34 up 47 min,  1 user,  load average: 1,00, 0,72, 0,68
 14:20:35 up 47 min,  1 user,  load average: 1,00, 0,72, 0,68
 14:20:36 up 47 min,  1 user,  load average: 1,00, 0,72, 0,68
 14:20:37 up 47 min,  1 user,  load average: 1,08, 0,74, 0,69
 14:20:38 up 47 min,  1 user,  load average: 1,08, 0,74, 0,69
 14:20:39 up 47 min,  1 user,  load average: 1,08, 0,74, 0,69
 14:20:40 up 47 min,  1 user,  load average: 1,08, 0,74, 0,69
 14:20:41 up 47 min,  1 user,  load average: 1,08, 0,74, 0,69
 14:20:42 up 47 min,  1 user,  load average: 1,15, 0,76, 0,70
 14:20:43 up 47 min,  1 user,  load average: 1,15, 0,76, 0,70
 14:20:44 up 47 min,  1 user,  load average: 1,15, 0,76, 0,70
 14:20:45 up 47 min,  1 user,  load average: 1,15, 0,76, 0,70
 14:20:46 up 47 min,  1 user,  load average: 1,15, 0,76, 0,70
 14:20:47 up 47 min,  1 user,  load average: 1,22, 0,79, 0,70
 14:20:48 up 47 min,  1 user,  load average: 1,22, 0,79, 0,70
 14:20:49 up 47 min,  1 user,  load average: 1,22, 0,79, 0,70
 14:20:51 up 47 min,  1 user,  load average: 1,22, 0,79, 0,70
 14:20:52 up 47 min,  1 user,  load average: 1,22, 0,79, 0,70
 14:20:53 up 47 min,  1 user,  load average: 1,28, 0,81, 0,71
 14:20:54 up 47 min,  1 user,  load average: 1,28, 0,81, 0,71
 14:20:55 up 47 min,  1 user,  load average: 1,28, 0,81, 0,71
 14:20:56 up 47 min,  1 user,  load average: 1,28, 0,81, 0,71
 14:20:57 up 47 min,  1 user,  load average: 1,28, 0,81, 0,71
 14:20:58 up 47 min,  1 user,  load average: 1,26, 0,81, 0,71
 14:20:59 up 47 min,  1 user,  load average: 1,26, 0,81, 0,71
 14:21:00 up 47 min,  1 user,  load average: 1,26, 0,81, 0,71
 14:21:01 up 47 min,  1 user,  load average: 1,26, 0,81, 0,71
 14:21:02 up 47 min,  1 user,  load average: 1,26, 0,81, 0,71
 14:21:03 up 47 min,  1 user,  load average: 1,32, 0,83, 0,72
 14:21:04 up 47 min,  1 user,  load average: 1,32, 0,83, 0,72
 14:21:05 up 47 min,  1 user,  load average: 1,32, 0,83, 0,72
 14:21:06 up 47 min,  1 user,  load average: 1,32, 0,83, 0,72
 14:21:07 up 47 min,  1 user,  load average: 1,32, 0,83, 0,72
 14:21:08 up 47 min,  1 user,  load average: 1,37, 0,85, 0,73
 14:21:09 up 47 min,  1 user,  load average: 1,37, 0,85, 0,73
 14:21:10 up 47 min,  1 user,  load average: 1,37, 0,85, 0,73
 14:21:11 up 47 min,  1 user,  load average: 1,37, 0,85, 0,73
 14:21:12 up 47 min,  1 user,  load average: 1,37, 0,85, 0,73
 14:21:13 up 47 min,  1 user,  load average: 1,50, 0,88, 0,74
 14:21:14 up 47 min,  1 user,  load average: 1,50, 0,88, 0,74
 14:21:15 up 47 min,  1 user,  load average: 1,50, 0,88, 0,74
 14:21:16 up 47 min,  1 user,  load average: 1,50, 0,88, 0,74
 14:21:17 up 47 min,  1 user,  load average: 1,54, 0,90, 0,75
 14:21:18 up 47 min,  1 user,  load average: 1,54, 0,90, 0,75
 14:21:19 up 47 min,  1 user,  load average: 1,54, 0,90, 0,75
 14:21:20 up 47 min,  1 user,  load average: 1,54, 0,90, 0,75
 14:21:21 up 47 min,  1 user,  load average: 1,54, 0,90, 0,75
 14:21:22 up 48 min,  1 user,  load average: 1,50, 0,91, 0,75
 14:21:23 up 48 min,  1 user,  load average: 1,50, 0,91, 0,75
 14:21:24 up 48 min,  1 user,  load average: 1,50, 0,91, 0,75
 14:21:25 up 48 min,  1 user,  load average: 1,50, 0,91, 0,75
 14:21:26 up 48 min,  1 user,  load average: 1,50, 0,91, 0,75
 14:21:27 up 48 min,  1 user,  load average: 1,46, 0,91, 0,75
 14:21:28 up 48 min,  1 user,  load average: 1,46, 0,91, 0,75
 14:21:29 up 48 min,  1 user,  load average: 1,46, 0,91, 0,75
 14:21:30 up 48 min,  1 user,  load average: 1,46, 0,91, 0,75
 14:21:31 up 48 min,  1 user,  load average: 1,46, 0,91, 0,75
 14:21:32 up 48 min,  1 user,  load average: 1,42, 0,91, 0,75
 14:21:33 up 48 min,  1 user,  load average: 1,42, 0,91, 0,75
 14:21:34 up 48 min,  1 user,  load average: 1,42, 0,91, 0,75
 14:21:35 up 48 min,  1 user,  load average: 1,42, 0,91, 0,75
 14:21:36 up 48 min,  1 user,  load average: 1,42, 0,91, 0,75
 14:21:37 up 48 min,  1 user,  load average: 1,47, 0,93, 0,76
 14:21:38 up 48 min,  1 user,  load average: 1,47, 0,93, 0,76
 14:21:39 up 48 min,  1 user,  load average: 1,47, 0,93, 0,76
 14:21:40 up 48 min,  1 user,  load average: 1,47, 0,93, 0,76
 14:21:41 up 48 min,  1 user,  load average: 1,47, 0,93, 0,76
 14:21:42 up 48 min,  1 user,  load average: 1,67, 0,98, 0,78
 14:21:43 up 48 min,  1 user,  load average: 1,67, 0,98, 0,78
 14:21:44 up 48 min,  1 user,  load average: 1,67, 0,98, 0,78
 14:21:45 up 48 min,  1 user,  load average: 1,67, 0,98, 0,78
 14:21:46 up 48 min,  1 user,  load average: 1,67, 0,98, 0,78
 14:21:47 up 48 min,  1 user,  load average: 1,70, 1,00, 0,78
 14:21:48 up 48 min,  1 user,  load average: 1,70, 1,00, 0,78
 14:21:49 up 48 min,  1 user,  load average: 1,70, 1,00, 0,78
 14:21:50 up 48 min,  1 user,  load average: 1,70, 1,00, 0,78
 14:21:52 up 48 min,  1 user,  load average: 1,70, 1,00, 0,78
 14:21:53 up 48 min,  1 user,  load average: 1,72, 1,01, 0,79
 14:21:54 up 48 min,  1 user,  load average: 1,72, 1,01, 0,79
 14:21:55 up 48 min,  1 user,  load average: 1,72, 1,01, 0,79
 14:21:56 up 48 min,  1 user,  load average: 1,72, 1,01, 0,79
 14:21:57 up 48 min,  1 user,  load average: 1,72, 1,01, 0,79
 14:21:58 up 48 min,  1 user,  load average: 1,66, 1,01, 0,79
 14:21:59 up 48 min,  1 user,  load average: 1,66, 1,01, 0,79
 14:22:00 up 48 min,  1 user,  load average: 1,66, 1,01, 0,79
 14:22:01 up 48 min,  1 user,  load average: 1,66, 1,01, 0,79
 14:22:02 up 48 min,  1 user,  load average: 1,66, 1,01, 0,79
 14:22:03 up 48 min,  1 user,  load average: 1,61, 1,01, 0,79
 14:22:04 up 48 min,  1 user,  load average: 1,61, 1,01, 0,79
 14:22:05 up 48 min,  1 user,  load average: 1,61, 1,01, 0,79
 14:22:06 up 48 min,  1 user,  load average: 1,61, 1,01, 0,79
 14:22:07 up 48 min,  1 user,  load average: 1,61, 1,01, 0,79
 14:22:08 up 48 min,  1 user,  load average: 1,80, 1,06, 0,81
 14:22:09 up 48 min,  1 user,  load average: 1,80, 1,06, 0,81
 14:22:10 up 48 min,  1 user,  load average: 1,80, 1,06, 0,81
 14:22:11 up 48 min,  1 user,  load average: 1,80, 1,06, 0,81
 14:22:12 up 48 min,  1 user,  load average: 1,80, 1,06, 0,81
 14:22:13 up 48 min,  1 user,  load average: 1,90, 1,09, 0,82
 14:22:14 up 48 min,  1 user,  load average: 1,90, 1,09, 0,82
 14:22:15 up 48 min,  1 user,  load average: 1,90, 1,09, 0,82
 14:22:16 up 48 min,  1 user,  load average: 1,90, 1,09, 0,82
 14:22:17 up 48 min,  1 user,  load average: 1,90, 1,09, 0,82
 14:22:18 up 48 min,  1 user,  load average: 2,07, 1,14, 0,84
 14:22:19 up 48 min,  1 user,  load average: 2,07, 1,14, 0,84
 14:22:20 up 48 min,  1 user,  load average: 2,07, 1,14, 0,84
 14:22:21 up 48 min,  1 user,  load average: 2,07, 1,14, 0,84
 14:22:22 up 49 min,  1 user,  load average: 2,06, 1,16, 0,85
 14:22:23 up 49 min,  1 user,  load average: 2,06, 1,16, 0,85
 14:22:24 up 49 min,  1 user,  load average: 2,06, 1,16, 0,85
 14:22:25 up 49 min,  1 user,  load average: 2,06, 1,16, 0,85
 14:22:26 up 49 min,  1 user,  load average: 2,06, 1,16, 0,85
 14:22:27 up 49 min,  1 user,  load average: 2,06, 1,17, 0,85
 14:22:28 up 49 min,  1 user,  load average: 2,06, 1,17, 0,85
 14:22:29 up 49 min,  1 user,  load average: 2,06, 1,17, 0,85
 14:22:30 up 49 min,  1 user,  load average: 2,06, 1,17, 0,85
 14:22:31 up 49 min,  1 user,  load average: 2,06, 1,17, 0,85
 14:22:32 up 49 min,  1 user,  load average: 1,97, 1,17, 0,85
 14:22:33 up 49 min,  1 user,  load average: 1,97, 1,17, 0,85
 14:22:34 up 49 min,  1 user,  load average: 1,97, 1,17, 0,85
 14:22:35 up 49 min,  1 user,  load average: 1,97, 1,17, 0,85
 14:22:36 up 49 min,  1 user,  load average: 1,97, 1,17, 0,85
 14:22:37 up 49 min,  1 user,  load average: 1,89, 1,17, 0,85
 14:22:38 up 49 min,  1 user,  load average: 1,89, 1,17, 0,85
 14:22:40 up 49 min,  1 user,  load average: 1,89, 1,17, 0,85
 14:22:41 up 49 min,  1 user,  load average: 1,89, 1,17, 0,85
 14:22:42 up 49 min,  1 user,  load average: 1,89, 1,17, 0,85
 14:22:43 up 49 min,  1 user,  load average: 1,82, 1,16, 0,85
 14:22:44 up 49 min,  1 user,  load average: 1,82, 1,16, 0,85
 14:22:45 up 49 min,  1 user,  load average: 1,82, 1,16, 0,85
 14:22:46 up 49 min,  1 user,  load average: 1,82, 1,16, 0,85
 14:22:47 up 49 min,  1 user,  load average: 1,82, 1,16, 0,85
 14:22:48 up 49 min,  1 user,  load average: 1,84, 1,18, 0,86
 14:22:49 up 49 min,  1 user,  load average: 1,84, 1,18, 0,86
 14:22:50 up 49 min,  1 user,  load average: 1,84, 1,18, 0,86
 14:22:51 up 49 min,  1 user,  load average: 1,84, 1,18, 0,86
 14:22:52 up 49 min,  1 user,  load average: 1,84, 1,18, 0,86
 14:22:53 up 49 min,  1 user,  load average: 1,85, 1,19, 0,87
 14:22:54 up 49 min,  1 user,  load average: 1,85, 1,19, 0,87
 14:22:55 up 49 min,  1 user,  load average: 1,85, 1,19, 0,87
 14:22:56 up 49 min,  1 user,  load average: 1,85, 1,19, 0,87
 14:22:57 up 49 min,  1 user,  load average: 1,85, 1,19, 0,87
 14:22:58 up 49 min,  1 user,  load average: 1,78, 1,19, 0,87
 14:22:59 up 49 min,  1 user,  load average: 1,78, 1,19, 0,87
 14:23:00 up 49 min,  1 user,  load average: 1,78, 1,19, 0,87
 14:23:01 up 49 min,  1 user,  load average: 1,78, 1,19, 0,87
 14:23:02 up 49 min,  1 user,  load average: 1,78, 1,19, 0,87
 14:23:03 up 49 min,  1 user,  load average: 1,72, 1,18, 0,87
 14:23:04 up 49 min,  1 user,  load average: 1,72, 1,18, 0,87
 14:23:05 up 49 min,  1 user,  load average: 1,72, 1,18, 0,87
 14:23:06 up 49 min,  1 user,  load average: 1,72, 1,18, 0,87
 14:23:07 up 49 min,  1 user,  load average: 1,72, 1,18, 0,87
 14:23:08 up 49 min,  1 user,  load average: 2,06, 1,26, 0,90
 14:23:09 up 49 min,  1 user,  load average: 2,06, 1,26, 0,90
 14:23:10 up 49 min,  1 user,  load average: 2,06, 1,26, 0,90
 14:23:11 up 49 min,  1 user,  load average: 2,06, 1,26, 0,90
 14:23:12 up 49 min,  1 user,  load average: 2,06, 1,26, 0,90
 14:23:13 up 49 min,  1 user,  load average: 1,98, 1,26, 0,90
 14:23:14 up 49 min,  1 user,  load average: 1,98, 1,26, 0,90
 14:23:15 up 49 min,  1 user,  load average: 1,98, 1,26, 0,90
 14:23:16 up 49 min,  1 user,  load average: 1,98, 1,26, 0,90
 14:23:17 up 49 min,  1 user,  load average: 1,98, 1,26, 0,90
 14:23:18 up 49 min,  1 user,  load average: 2,14, 1,31, 0,91
 14:23:19 up 49 min,  1 user,  load average: 2,14, 1,31, 0,91
 14:23:20 up 49 min,  1 user,  load average: 2,14, 1,31, 0,91
 14:23:21 up 49 min,  1 user,  load average: 2,14, 1,31, 0,91
 14:23:22 up 50 min,  1 user,  load average: 2,14, 1,31, 0,91
 14:23:23 up 50 min,  1 user,  load average: 2,05, 1,30, 0,92
 14:23:24 up 50 min,  1 user,  load average: 2,05, 1,30, 0,92
 14:23:25 up 50 min,  1 user,  load average: 2,05, 1,30, 0,92
 14:23:26 up 50 min,  1 user,  load average: 2,05, 1,30, 0,92
 14:23:27 up 50 min,  1 user,  load average: 1,96, 1,29, 0,92
 14:23:28 up 50 min,  1 user,  load average: 1,96, 1,29, 0,92
 14:23:29 up 50 min,  1 user,  load average: 1,96, 1,29, 0,92
 14:23:30 up 50 min,  1 user,  load average: 1,96, 1,29, 0,92
 14:23:31 up 50 min,  1 user,  load average: 1,96, 1,29, 0,92
 14:23:32 up 50 min,  1 user,  load average: 1,97, 1,31, 0,92
 14:23:33 up 50 min,  1 user,  load average: 1,97, 1,31, 0,92
 14:23:34 up 50 min,  1 user,  load average: 1,97, 1,31, 0,92
 14:23:35 up 50 min,  1 user,  load average: 1,97, 1,31, 0,92
 14:23:36 up 50 min,  1 user,  load average: 1,97, 1,31, 0,92
 14:23:37 up 50 min,  1 user,  load average: 1,89, 1,30, 0,92
 14:23:38 up 50 min,  1 user,  load average: 1,89, 1,30, 0,92
 14:23:39 up 50 min,  1 user,  load average: 1,89, 1,30, 0,92
 14:23:40 up 50 min,  1 user,  load average: 1,89, 1,30, 0,92
 14:23:41 up 50 min,  1 user,  load average: 1,89, 1,30, 0,92
 14:23:42 up 50 min,  1 user,  load average: 1,82, 1,30, 0,92
 14:23:43 up 50 min,  1 user,  load average: 1,82, 1,30, 0,92
 14:23:44 up 50 min,  1 user,  load average: 1,82, 1,30, 0,92
 14:23:45 up 50 min,  1 user,  load average: 1,82, 1,30, 0,92
 14:23:46 up 50 min,  1 user,  load average: 1,82, 1,30, 0,92
 14:23:47 up 50 min,  1 user,  load average: 1,83, 1,31, 0,93
 14:23:48 up 50 min,  1 user,  load average: 1,83, 1,31, 0,93
 14:23:49 up 50 min,  1 user,  load average: 1,83, 1,31, 0,93
 14:23:50 up 50 min,  1 user,  load average: 1,83, 1,31, 0,93
 14:23:51 up 50 min,  1 user,  load average: 1,83, 1,31, 0,93
 14:23:52 up 50 min,  1 user,  load average: 1,77, 1,30, 0,93
 14:23:53 up 50 min,  1 user,  load average: 1,77, 1,30, 0,93
 14:23:54 up 50 min,  1 user,  load average: 1,77, 1,30, 0,93
 14:23:55 up 50 min,  1 user,  load average: 1,77, 1,30, 0,93
 14:23:57 up 50 min,  1 user,  load average: 1,77, 1,30, 0,93
 14:23:58 up 50 min,  1 user,  load average: 1,70, 1,30, 0,93
 14:23:59 up 50 min,  1 user,  load average: 1,70, 1,30, 0,93
 14:24:00 up 50 min,  1 user,  load average: 1,70, 1,30, 0,93
