 14:11:49 up 38 min,  1 user,  load average: 0,63, 0,87, 0,70
 14:11:50 up 38 min,  1 user,  load average: 0,63, 0,87, 0,70
 14:11:51 up 38 min,  1 user,  load average: 0,63, 0,87, 0,70
 14:11:52 up 38 min,  1 user,  load average: 0,66, 0,87, 0,70
 14:11:53 up 38 min,  1 user,  load average: 0,66, 0,87, 0,70
 14:11:54 up 38 min,  1 user,  load average: 0,66, 0,87, 0,70
 14:11:55 up 38 min,  1 user,  load average: 0,66, 0,87, 0,70
 14:11:56 up 38 min,  1 user,  load average: 0,66, 0,87, 0,70
 14:11:58 up 38 min,  1 user,  load average: 0,61, 0,86, 0,69
 14:11:59 up 38 min,  1 user,  load average: 0,61, 0,86, 0,69
 14:12:00 up 38 min,  1 user,  load average: 0,61, 0,86, 0,69
 14:12:01 up 38 min,  1 user,  load average: 0,61, 0,86, 0,69
 14:12:02 up 38 min,  1 user,  load average: 0,61, 0,86, 0,69
 14:12:03 up 38 min,  1 user,  load average: 0,72, 0,87, 0,70
 14:12:04 up 38 min,  1 user,  load average: 0,72, 0,87, 0,70
 14:12:05 up 38 min,  1 user,  load average: 0,72, 0,87, 0,70
 14:12:06 up 38 min,  1 user,  load average: 0,72, 0,87, 0,70
 14:12:07 up 38 min,  1 user,  load average: 0,72, 0,87, 0,70
 14:12:08 up 38 min,  1 user,  load average: 0,74, 0,88, 0,70
 14:12:09 up 38 min,  1 user,  load average: 0,74, 0,88, 0,70
 14:12:10 up 38 min,  1 user,  load average: 0,74, 0,88, 0,70
 14:12:11 up 38 min,  1 user,  load average: 0,74, 0,88, 0,70
 14:12:12 up 38 min,  1 user,  load average: 0,76, 0,88, 0,70
 14:12:13 up 38 min,  1 user,  load average: 0,76, 0,88, 0,70
 14:12:14 up 38 min,  1 user,  load average: 0,76, 0,88, 0,70
 14:12:15 up 38 min,  1 user,  load average: 0,76, 0,88, 0,70
 14:12:16 up 38 min,  1 user,  load average: 0,76, 0,88, 0,70
 14:12:17 up 38 min,  1 user,  load average: 0,78, 0,88, 0,71
 14:12:18 up 38 min,  1 user,  load average: 0,78, 0,88, 0,71
 14:12:19 up 38 min,  1 user,  load average: 0,78, 0,88, 0,71
 14:12:20 up 38 min,  1 user,  load average: 0,78, 0,88, 0,71
 14:12:21 up 38 min,  1 user,  load average: 0,78, 0,88, 0,71
 14:12:22 up 39 min,  1 user,  load average: 0,80, 0,88, 0,71
 14:12:23 up 39 min,  1 user,  load average: 0,80, 0,88, 0,71
 14:12:24 up 39 min,  1 user,  load average: 0,80, 0,88, 0,71
 14:12:25 up 39 min,  1 user,  load average: 0,80, 0,88, 0,71
 14:12:26 up 39 min,  1 user,  load average: 0,80, 0,88, 0,71
 14:12:27 up 39 min,  1 user,  load average: 0,73, 0,87, 0,70
 14:12:28 up 39 min,  1 user,  load average: 0,73, 0,87, 0,70
 14:12:29 up 39 min,  1 user,  load average: 0,73, 0,87, 0,70
 14:12:30 up 39 min,  1 user,  load average: 0,73, 0,87, 0,70
 14:12:31 up 39 min,  1 user,  load average: 0,73, 0,87, 0,70
 14:12:32 up 39 min,  1 user,  load average: 0,68, 0,85, 0,70
 14:12:33 up 39 min,  1 user,  load average: 0,68, 0,85, 0,70
 14:12:34 up 39 min,  1 user,  load average: 0,68, 0,85, 0,70
 14:12:35 up 39 min,  1 user,  load average: 0,68, 0,85, 0,70
 14:12:37 up 39 min,  1 user,  load average: 0,68, 0,85, 0,70
 14:12:38 up 39 min,  1 user,  load average: 0,62, 0,84, 0,70
 14:12:39 up 39 min,  1 user,  load average: 0,62, 0,84, 0,70
 14:12:40 up 39 min,  1 user,  load average: 0,62, 0,84, 0,70
 14:12:41 up 39 min,  1 user,  load average: 0,62, 0,84, 0,70
 14:12:42 up 39 min,  1 user,  load average: 0,62, 0,84, 0,70
 14:12:43 up 39 min,  1 user,  load average: 0,57, 0,83, 0,69
 14:12:44 up 39 min,  1 user,  load average: 0,57, 0,83, 0,69
 14:12:45 up 39 min,  1 user,  load average: 0,57, 0,83, 0,69
 14:12:46 up 39 min,  1 user,  load average: 0,57, 0,83, 0,69
 14:12:47 up 39 min,  1 user,  load average: 0,57, 0,83, 0,69
 14:12:48 up 39 min,  1 user,  load average: 0,53, 0,81, 0,69
 14:12:49 up 39 min,  1 user,  load average: 0,53, 0,81, 0,69
 14:12:50 up 39 min,  1 user,  load average: 0,53, 0,81, 0,69
